,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
58,58,58,58,58,58,8478,1B,,Caught Stealing 2B,664056,Harrison Bader,502522,Justin Miller,451594,Dexter Fowler,R,Yan Gomes,543228,3,6,6,True,2019-04-29,Caught,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
59,59,59,59,59,59,8862,2B,,Caught Stealing 3B,664056,Harrison Bader,621381,Matt Strahm,425794,Adam Wainwright,L,Austin Hedges,595978,0,1,3,False,2019-04-07,Caught,3B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
60,60,60,60,60,60,96,1B,2B,Stolen Base 2B,664056,Harrison Bader,592716,Adrian Sampson,663457,Lars Nootbaar,R,Willson Contreras,575929,4,2,5,True,2021-09-25,Stolen,2B,2021,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1
61,61,61,61,61,61,97,2B,3B,Stolen Base 3B,664056,Harrison Bader,667297,Tommy Nance,663457,Lars Nootbaar,R,Willson Contreras,575929,4,6,9,True,2021-09-25,Stolen,3B,2021,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1
62,62,62,62,62,62,344,1B,,Caught Stealing 2B,664056,Harrison Bader,669952,Mitch White,425794,Adam Wainwright,R,Will Smith,669257,3,1,2,False,2021-09-08,Caught,2B,2021,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1
63,63,63,63,63,63,745,1B,,Caught Stealing 2B,664056,Harrison Bader,641745,Brad Keller,624641,Edmundo Sosa,R,Salvador Perez,521692,1,2,7,True,2021-08-14,Caught,2B,2021,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1
64,64,64,64,64,64,1022,2B,3B,Stolen Base 3B,664056,Harrison Bader,664208,Phil Maton,657557,Paul DeJong,R,Roberto Pérez,547379,2,3,9,True,2021-07-27,Stolen,3B,2021,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1
65,65,65,65,65,65,1250,1B,2B,Stolen Base 2B,664056,Harrison Bader,605200,Zach Davies,657557,Paul DeJong,R,Willson Contreras,575929,0,1,4,True,2021-07-10,Stolen,2B,2021,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1
66,66,66,66,66,66,1335,2B,3B,Stolen Base 3B,664056,Harrison Bader,608566,Germán Márquez,668800,Andrew Knizner,R,Elias Díaz,553869,1,2,4,True,2021-07-04,Stolen,3B,2021,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1
67,67,67,67,67,67,2083,1B,2B,Stolen Base 2B,664056,Harrison Bader,502239,Trevor Cahill,642211,Justin Williams,R,Michael Pérez,605421,1,0,2,False,2021-05-19,Stolen,2B,2021,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1
68,68,68,68,68,68,2185,1B,,Caught Stealing 2B,664056,Harrison Bader,605540,Brandon Woodruff,572761,Matt Carpenter,R,Manny Piña,444489,1,1,8,True,2021-05-12,Caught,2B,2021,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1
69,69,69,69,69,69,2303,1B,2B,Stolen Base 2B,664056,Harrison Bader,573186,Marcus Stroman,572761,Matt Carpenter,R,James McCann,543510,2,1,4,False,2021-05-05,Stolen,2B,2021,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1
70,70,70,70,70,70,2380,1B,2B,Stolen Base 2B,664056,Harrison Bader,607572,Sam Howard,656427,Jack Flaherty,L,Michael Pérez,605421,3,5,6,True,2021-05-01,Stolen,2B,2021,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1,2022,29.1
