,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x.2,Sprint_x.2,Current_Year_y.2,Sprint_y.2,Current_Year_x.3,Sprint_x.3,Current_Year_y.3,Sprint_y.3,Current_Year,Sprint
33,33,33,33,33,33,33,33,33,1B,2B,Stolen Base 2B,623205,Andrew Velazquez,680735,Austin Cox,666160,Mickey Moniak,L,Freddy Fermin,666023,0,3,8,True,2023-06-16,Stolen,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
34,34,34,34,34,34,34,34,34,1B,2B,Stolen Base 2B,686759,TJ Hopkins,663738,Daniel Lynch IV,676480,Jose Barrero,L,Freddy Fermin,666023,1,3,5,True,2023-06-14,Stolen,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
35,35,35,35,35,35,35,35,35,1B,2B,Stolen Base 2B,656448,Stone Garrett,621016,Jose Cuas,642086,Dominic Smith,R,Freddy Fermin,666023,8,12,8,True,2023-05-26,Stolen,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
36,36,36,36,36,36,36,36,36,1B,2B,Stolen Base 2B,642715,Willy Adames,657031,Josh Taylor,592885,Christian Yelich,L,Freddy Fermin,666023,1,0,1,False,2023-05-12,Stolen,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
37,37,37,37,37,37,37,37,37,1B,2B,Stolen Base 2B,592885,Christian Yelich,657031,Josh Taylor,605119,Brian Anderson,L,Freddy Fermin,666023,1,0,1,False,2023-05-12,Stolen,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
38,38,38,38,38,38,38,38,38,1B,2B,Stolen Base 2B,572228,Luke Voit,666721,Max Castillo,642133,Rowdy Tellez,R,Freddy Fermin,666023,3,0,6,False,2023-05-12,Stolen,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
39,39,39,39,39,39,39,39,39,1B,2B,Stolen Base 2B,665923,Esteury Ruiz,663903,Brady Singer,676116,Ryan Noda,R,Freddy Fermin,666023,1,2,2,True,2023-05-06,Stolen,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
40,40,40,40,40,40,40,40,40,2B,3B,Stolen Base 3B,624428,Adam Frazier,547973,Aroldis Chapman,622761,Jorge Mateo,L,Freddy Fermin,666023,9,8,8,True,2023-05-04,Stolen,3B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
41,41,41,41,41,41,41,41,41,1B,2B,Stolen Base 2B,622761,Jorge Mateo,547973,Aroldis Chapman,602104,Ramón Urías,L,Freddy Fermin,666023,9,10,8,True,2023-05-04,Stolen,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
42,42,42,42,42,42,42,42,42,1B,2B,Stolen Base 2B,602104,Ramón Urías,547973,Aroldis Chapman,656775,Cedric Mullins,L,Freddy Fermin,666023,9,10,8,True,2023-05-04,Stolen,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
