,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base
3690,1B,,Caught Stealing 2B,621563,Joey Wendle,452657,Jon Lester,572287,Mike Zunino,L,Yan Gomes,543228,1,0,2,False,2021-06-08,Caught,2B
3771,2B,3B,Stolen Base 3B,621563,Joey Wendle,656756,Jordan Montgomery,621433,Brett Phillips,L,Gary Sánchez,596142,4,2,7,True,2021-06-02,Stolen,3B
3868,1B,,Caught Stealing 2B,621563,Joey Wendle,663903,Brady Singer,670764,Taylor Walls,R,Cam Gallagher,595956,3,0,1,False,2021-05-27,Caught,2B
3916,1B,,Caught Stealing 2B,621563,Joey Wendle,641745,Brad Keller,670764,Taylor Walls,R,Cam Gallagher,595956,1,1,4,False,2021-05-25,Caught,2B
4081,1B,2B,Stolen Base 2B,621563,Joey Wendle,622098,Drew Smith,622534,Manuel Margot,R,Tomás Nido,621512,1,0,1,False,2021-05-15,Stolen,2B
4169,1B,2B,Stolen Base 2B,621563,Joey Wendle,433589,Yusmeiro Petit,572287,Mike Zunino,R,Sean Murphy,669221,3,2,6,True,2021-05-08,Stolen,2B
4213,1B,2B,Stolen Base 2B,621563,Joey Wendle,642083,Aaron Slegers,595281,Kevin Kiermaier,R,Kurt Suzuki,435559,1,3,7,True,2021-05-05,Stolen,2B
4381,1B,,Caught Stealing 2B,621563,Joey Wendle,640455,Sean Manaea,650490,Yandy Díaz,L,Sean Murphy,669221,1,2,5,False,2021-04-26,Caught,2B
4894,2B,3B,Stolen Base 3B,621563,Joey Wendle,458677,Justin Wilson,595281,Kevin Kiermaier,L,Robinson Chirinos,455139,3,1,7,True,2020-09-22,Stolen,3B
4908,2B,3B,Stolen Base 3B,621563,Joey Wendle,594798,Jacob deGrom,595281,Kevin Kiermaier,R,Wilson Ramos,467092,0,1,2,True,2020-09-21,Stolen,3B
4910,1B,,Caught Stealing 2B,621563,Joey Wendle,594798,Jacob deGrom,622534,Manuel Margot,R,Wilson Ramos,467092,0,2,4,True,2020-09-21,Caught,2B
