,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x.2,Sprint_x.2,Current_Year_y.2,Sprint_y.2,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
60,60,60,60,60,60,60,60,1B,2B,Stolen Base 2B,624415,Cavan Biggio,657612,Tim Hill,545341,Randal Grichuk,L,Martín Maldonado,455117,6,2,8,False,2019-06-28,Stolen,2B,2019,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9
61,61,61,61,61,61,61,61,1B,,Caught Stealing 2B,608070,José Ramírez,605130,Scott Barlow,656252,Bobby Bradley,R,Martín Maldonado,455117,6,3,7,False,2019-06-25,Caught,2B,2019,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9
62,62,62,62,62,62,62,62,1B,2B,Stolen Base 2B,592696,Eddie Rosario,596001,Jakob Junis,543068,C.J. Cron,R,Martín Maldonado,455117,3,3,5,True,2019-06-21,Stolen,2B,2019,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9
63,63,63,63,63,63,63,63,1B,2B,Stolen Base 2B,646240,Rafael Devers,596001,Jakob Junis,593428,Xander Bogaerts,R,Martín Maldonado,455117,0,1,1,True,2019-06-05,Stolen,2B,2019,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9
64,64,64,64,64,64,64,64,1B,2B,Stolen Base 2B,458731,Brett Gardner,596001,Jakob Junis,642731,Thairo Estrada,R,Martín Maldonado,455117,0,2,4,True,2019-05-25,Stolen,2B,2019,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9
65,65,65,65,65,65,65,65,1B,2B,Stolen Base 2B,425877,Yadier Molina,456701,Homer Bailey,451594,Dexter Fowler,R,Martín Maldonado,455117,3,0,1,False,2019-05-22,Stolen,2B,2019,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9
66,66,66,66,66,66,66,66,1B,2B,Stolen Base 2B,543939,Kolten Wong,605130,Scott Barlow,572761,Matt Carpenter,R,Martín Maldonado,455117,6,3,6,False,2019-05-22,Stolen,2B,2019,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9
67,67,67,67,67,67,67,67,1B,2B,Stolen Base 2B,425877,Yadier Molina,456701,Homer Bailey,451594,Dexter Fowler,R,Martín Maldonado,455117,3,0,1,False,2019-05-21,Stolen,2B,2019,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9
68,68,68,68,68,68,68,68,1B,2B,Stolen Base 2B,543939,Kolten Wong,605130,Scott Barlow,572761,Matt Carpenter,R,Martín Maldonado,455117,6,3,6,False,2019-05-21,Stolen,2B,2019,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9
69,69,69,69,69,69,69,69,1B,2B,Stolen Base 2B,571718,Brian Goodwin,596001,Jakob Junis,664058,David Fletcher,R,Martín Maldonado,455117,2,0,2,False,2019-05-18,Stolen,2B,2019,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9
