,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year,Sprint
36,36,36,2B,3B,Stolen Base 3B,595981,Scott Heineman,489334,Craig Stammen,425772,Jeff Mathis,R,Austin Hedges,595978,4,6,4,False,2020-08-18,Stolen,3B,2020,2021,28.4,2021,28.4,2021,28.4
37,37,37,1B,2B,Stolen Base 2B,606466,Ketel Marte,572070,Garrett Richards,516782,Starling Marte,R,Austin Hedges,595978,2,0,5,False,2020-08-16,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
38,38,38,2B,,Caught Stealing 3B,572041,AJ Pollock,663978,Chris Paddack,571970,Max Muncy,R,Austin Hedges,595978,6,2,3,False,2020-08-13,Caught,3B,2020,2021,28.4,2021,28.4,2021,28.4
39,39,39,1B,2B,Stolen Base 2B,596103,Austin Slater,621381,Matt Strahm,644433,Chadwick Tromp,L,Austin Hedges,595978,6,6,8,False,2020-07-29,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
40,40,40,2B,,Caught Stealing 3B,516782,Starling Marte,621381,Matt Strahm,594777,Kole Calhoun,L,Austin Hedges,595978,3,1,6,True,2020-07-25,Caught,3B,2020,2021,28.4,2021,28.4,2021,28.4
41,41,41,2B,,Caught Stealing 3B,545361,Mike Trout,572070,Garrett Richards,488771,Jason Castro,R,Austin Hedges,595978,0,1,1,True,2020-07-20,Caught,3B,2020,2021,28.4,2021,28.4,2021,28.4
42,42,42,2B,3B,Stolen Base 3B,609275,Adalberto Mondesi,650644,Aaron Civale,596748,Maikel Franco,R,Austin Hedges,595978,0,3,3,True,2020-09-10,Stolen,3B,2020,2021,28.4,2021,28.4,2021,28.4
43,43,43,1B,2B,Stolen Base 2B,641531,Hunter Dozier,650644,Aaron Civale,596748,Maikel Franco,R,Austin Hedges,595978,0,3,3,True,2020-09-10,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
44,44,44,1B,,Caught Stealing 2B,606132,Raimel Tapia,663978,Chris Paddack,596115,Trevor Story,R,Austin Hedges,595978,0,5,3,False,2020-08-30,Caught,2B,2020,2021,28.4,2021,28.4,2021,28.4
45,45,45,1B,2B,Stolen Base 2B,641487,J.P. Crawford,670280,David Bednar,664059,Sam Haggerty,R,Austin Hedges,595978,3,7,7,True,2020-08-27,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
