,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x.2,Sprint_x.2,Current_Year_y.2,Sprint_y.2,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
31,31,31,31,31,31,31,31,2B,,Caught Stealing 3B,444482,David Peralta,519043,Matt Moore,502671,Paul Goldschmidt,L,Tim Federowicz,543148,0,0,1,False,2017-09-26,Caught,3B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
32,32,32,32,32,32,32,32,1B,2B,Caught Stealing 3B,572041,AJ Pollock,519043,Matt Moore,502671,Paul Goldschmidt,L,Tim Federowicz,543148,0,0,1,False,2017-09-26,Caught,3B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
33,33,33,33,33,33,33,33,1B,2B,Stolen Base 2B,453923,Grégor Blanco,456501,Johnny Cueto,592273,Brandon Drury,R,Tim Federowicz,543148,2,0,3,False,2017-09-25,Stolen,2B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
34,34,34,34,34,34,34,34,2B,3B,Stolen Base 3B,518934,DJ LeMahieu,518516,Madison Bumgarner,471865,Carlos González,L,Tim Federowicz,543148,0,0,1,True,2017-04-13,Stolen,3B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
35,35,35,35,35,35,35,35,1B,2B,Stolen Base 2B,608671,Travis Jankowski,543294,Kyle Hendricks,571976,Wil Myers,R,Tim Federowicz,543148,0,1,1,True,2016-05-11,Stolen,2B,2016,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4
36,36,36,36,36,36,36,36,1B,2B,Stolen Base 2B,608671,Travis Jankowski,543294,Kyle Hendricks,571976,Wil Myers,R,Tim Federowicz,543148,0,1,1,True,2016-05-09,Stolen,2B,2016,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4
37,37,37,37,37,37,37,37,1B,2B,Stolen Base 2B,605480,Mallex Smith,444468,Héctor Rondón,453211,Drew Stubbs,R,Tim Federowicz,543148,3,4,10,True,2016-05-01,Stolen,2B,2016,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4
38,38,38,38,38,38,38,38,1B,2B,Stolen Base 2B,608671,Travis Jankowski,543294,Kyle Hendricks,571976,Wil Myers,R,Tim Federowicz,543148,0,1,1,True,2016-05-11,Stolen,2B,2016,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4
39,39,39,39,39,39,39,39,1B,2B,Stolen Base 2B,608671,Travis Jankowski,543294,Kyle Hendricks,571976,Wil Myers,R,Tim Federowicz,543148,0,1,1,True,2016-05-09,Stolen,2B,2016,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4
40,40,40,40,40,40,40,40,1B,2B,Stolen Base 2B,605480,Mallex Smith,444468,Héctor Rondón,453211,Drew Stubbs,R,Tim Federowicz,543148,3,4,10,True,2016-05-01,Stolen,2B,2016,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4
41,41,41,41,41,41,41,41,1B,2B,Stolen Base 2B,608671,Travis Jankowski,543294,Kyle Hendricks,571976,Wil Myers,R,Tim Federowicz,543148,0,1,1,True,2016-05-11,Stolen,2B,2016,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4
42,42,42,42,42,42,42,42,1B,2B,Stolen Base 2B,608671,Travis Jankowski,543294,Kyle Hendricks,571976,Wil Myers,R,Tim Federowicz,543148,0,1,1,True,2016-05-09,Stolen,2B,2016,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4
43,43,43,43,43,43,43,43,1B,2B,Stolen Base 2B,605480,Mallex Smith,444468,Héctor Rondón,453211,Drew Stubbs,R,Tim Federowicz,543148,3,4,10,True,2016-05-01,Stolen,2B,2016,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4,2017,27.4
