,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year,Sprint
23,23,23,2639,1B,,Caught Stealing 2B,474832,Brandon Belt,448281,Sean Doolittle,456781,Donovan Solano,L,Tyler Stephenson,663886,2,0,6,False,2021-04-14,Caught,2B,2021,2022,24.4,2022,24.4,2022,24.4
24,24,24,2682,1B,2B,Stolen Base 2B,474832,Brandon Belt,608566,Germán Márquez,446334,Evan Longoria,R,Dom Nuñez,624513,2,0,1,False,2021-04-11,Stolen,2B,2021,2022,24.4,2022,24.4,2022,24.4
25,25,25,3532,1B,2B,Stolen Base 2B,474832,Brandon Belt,624133,Ranger Suárez,543063,Brandon Crawford,L,Rafael Marchán,665561,6,6,5,False,2021-06-19,Stolen,2B,2021,2022,24.4,2022,24.4,2022,24.4
26,26,26,4424,1B,2B,Stolen Base 2B,474832,Brandon Belt,542947,Richard Bleier,573131,Darin Ruf,L,Sandy León,506702,5,1,7,False,2021-04-23,Stolen,2B,2021,2022,24.4,2022,24.4,2022,24.4
27,27,27,4563,1B,,Caught Stealing 2B,474832,Brandon Belt,448281,Sean Doolittle,456781,Donovan Solano,L,Tyler Stephenson,663886,2,0,6,False,2021-04-14,Caught,2B,2021,2022,24.4,2022,24.4,2022,24.4
28,28,28,4606,1B,2B,Stolen Base 2B,474832,Brandon Belt,608566,Germán Márquez,446334,Evan Longoria,R,Dom Nuñez,624513,2,0,1,False,2021-04-11,Stolen,2B,2021,2022,24.4,2022,24.4,2022,24.4
29,29,29,1224,1B,2B,Stolen Base 2B,474832,Brandon Belt,641771,Chad Kuhl,592626,Joc Pederson,R,Dom Nuñez,624513,0,0,3,False,2022-05-11,Stolen,2B,2022,2023,26.2,2023,26.2,2023,26.2
30,30,30,2079,1B,,Caught Stealing 2B,474832,Brandon Belt,664208,Phil Maton,457763,Buster Posey,R,Héctor Sánchez,516949,3,3,7,True,2017-07-15,Caught,2B,2017,2018,25.9,2018,25.9,2018,25.9
31,31,31,2582,1B,2B,Stolen Base 2B,474832,Brandon Belt,518813,Greg Holland,502188,Jeff Samardzija,R,Tom Murphy,608596,9,9,9,True,2017-06-15,Stolen,2B,2017,2018,25.9,2018,25.9,2018,25.9
32,32,32,2921,1B,,Caught Stealing 2B,474832,Brandon Belt,543699,Tanner Roark,457763,Buster Posey,R,Matt Wieters,446308,0,1,4,False,2017-05-29,Caught,2B,2017,2018,25.9,2018,25.9,2018,25.9
33,33,33,2954,1B,2B,Stolen Base 2B,474832,Brandon Belt,571871,Ian Krol,431094,Aaron Hill,L,Tyler Flowers,452095,5,2,8,False,2017-05-27,Stolen,2B,2017,2018,25.9,2018,25.9,2018,25.9
34,34,34,3946,1B,2B,Stolen Base 2B,474832,Brandon Belt,592662,Robbie Ray,543063,Brandon Crawford,L,Jeff Mathis,425772,0,2,4,True,2017-04-06,Stolen,2B,2017,2018,25.9,2018,25.9,2018,25.9
35,35,35,1451,1B,,Caught Stealing 2B,474832,Brandon Belt,664208,Phil Maton,457763,Buster Posey,R,Héctor Sánchez,516949,3,3,7,True,2017-07-15,Caught,2B,2017,2018,25.9,2018,25.9,2018,25.9
36,36,36,1954,1B,2B,Stolen Base 2B,474832,Brandon Belt,518813,Greg Holland,502188,Jeff Samardzija,R,Tom Murphy,608596,9,9,9,True,2017-06-15,Stolen,2B,2017,2018,25.9,2018,25.9,2018,25.9
37,37,37,2293,1B,,Caught Stealing 2B,474832,Brandon Belt,543699,Tanner Roark,457763,Buster Posey,R,Matt Wieters,446308,0,1,4,False,2017-05-29,Caught,2B,2017,2018,25.9,2018,25.9,2018,25.9
38,38,38,2326,1B,2B,Stolen Base 2B,474832,Brandon Belt,571871,Ian Krol,431094,Aaron Hill,L,Tyler Flowers,452095,5,2,8,False,2017-05-27,Stolen,2B,2017,2018,25.9,2018,25.9,2018,25.9
39,39,39,3318,1B,2B,Stolen Base 2B,474832,Brandon Belt,592662,Robbie Ray,543063,Brandon Crawford,L,Jeff Mathis,425772,0,2,4,True,2017-04-06,Stolen,2B,2017,2018,25.9,2018,25.9,2018,25.9
40,40,40,6775,1B,,Caught Stealing 2B,474832,Brandon Belt,572750,Eddie Butler,452254,Hunter Pence,R,Dustin Garneau,572863,0,2,4,False,2016-05-08,Caught,2B,2016,2017,26.7,2017,26.7,2017,26.7
41,41,41,6953,1B,,Caught Stealing 2B,474832,Brandon Belt,571927,Steven Matz,543063,Brandon Crawford,L,Kevin Plawecki,608700,0,0,2,True,2016-04-29,Caught,2B,2016,2017,26.7,2017,26.7,2017,26.7
42,42,42,7417,1B,,Caught Stealing 2B,474832,Brandon Belt,543380,Taylor Jungmann,622110,Matt Duffy,R,Jonathan Lucroy,518960,3,2,4,True,2016-04-06,Caught,2B,2016,2017,26.7,2017,26.7,2017,26.7
43,43,43,7421,1B,,Caught Stealing 2B,474832,Brandon Belt,502026,Jeremy Jeffress,622110,Matt Duffy,R,Jonathan Lucroy,518960,1,2,9,True,2016-04-05,Caught,2B,2016,2017,26.7,2017,26.7,2017,26.7
44,44,44,2740,1B,,Caught Stealing 2B,474832,Brandon Belt,572750,Eddie Butler,452254,Hunter Pence,R,Dustin Garneau,572863,0,2,4,False,2016-05-08,Caught,2B,2016,2017,26.7,2017,26.7,2017,26.7
45,45,45,2918,1B,,Caught Stealing 2B,474832,Brandon Belt,571927,Steven Matz,543063,Brandon Crawford,L,Kevin Plawecki,608700,0,0,2,True,2016-04-29,Caught,2B,2016,2017,26.7,2017,26.7,2017,26.7
46,46,46,3382,1B,,Caught Stealing 2B,474832,Brandon Belt,543380,Taylor Jungmann,622110,Matt Duffy,R,Jonathan Lucroy,518960,3,2,4,True,2016-04-06,Caught,2B,2016,2017,26.7,2017,26.7,2017,26.7
47,47,47,3386,1B,,Caught Stealing 2B,474832,Brandon Belt,502026,Jeremy Jeffress,622110,Matt Duffy,R,Jonathan Lucroy,518960,1,2,9,True,2016-04-05,Caught,2B,2016,2017,26.7,2017,26.7,2017,26.7
48,48,48,6147,1B,,Caught Stealing 2B,474832,Brandon Belt,572750,Eddie Butler,452254,Hunter Pence,R,Dustin Garneau,572863,0,2,4,False,2016-05-08,Caught,2B,2016,2017,26.7,2017,26.7,2017,26.7
49,49,49,6325,1B,,Caught Stealing 2B,474832,Brandon Belt,571927,Steven Matz,543063,Brandon Crawford,L,Kevin Plawecki,608700,0,0,2,True,2016-04-29,Caught,2B,2016,2017,26.7,2017,26.7,2017,26.7
50,50,50,6789,1B,,Caught Stealing 2B,474832,Brandon Belt,543380,Taylor Jungmann,622110,Matt Duffy,R,Jonathan Lucroy,518960,3,2,4,True,2016-04-06,Caught,2B,2016,2017,26.7,2017,26.7,2017,26.7
51,51,51,6793,1B,,Caught Stealing 2B,474832,Brandon Belt,502026,Jeremy Jeffress,622110,Matt Duffy,R,Jonathan Lucroy,518960,1,2,9,True,2016-04-05,Caught,2B,2016,2017,26.7,2017,26.7,2017,26.7
52,52,52,36,1B,2B,Stolen Base 2B,474832,Brandon Belt,448306,James Shields,543063,Brandon Crawford,R,Derek Norris,519083,0,0,2,True,2015-07-22,Stolen,2B,2015,2016,26.3,2016,26.3,2016,26.3
53,53,53,353,1B,2B,Stolen Base 2B,474832,Brandon Belt,605169,Carter Capps,572180,Andrew Susac,R,Jeff Mathis,425772,5,4,8,True,2015-07-02,Stolen,2B,2015,2016,26.3,2016,26.3,2016,26.3
54,54,54,362,1B,2B,Stolen Base 2B,474832,Brandon Belt,429717,Dan Haren,453923,Grégor Blanco,R,J.T. Realmuto,592663,3,2,4,True,2015-07-01,Stolen,2B,2015,2016,26.3,2016,26.3,2016,26.3
55,55,55,843,1B,2B,Stolen Base 2B,474832,Brandon Belt,449097,Jonathan Papelbon,543063,Brandon Crawford,R,Cameron Rupp,519237,6,4,9,True,2015-06-07,Stolen,2B,2015,2016,26.3,2016,26.3,2016,26.3
56,56,56,899,1B,2B,Stolen Base 2B,474832,Brandon Belt,472610,Luis García,543063,Brandon Crawford,R,Cameron Rupp,519237,4,5,7,True,2015-06-05,Stolen,2B,2015,2016,26.3,2016,26.3,2016,26.3
57,57,57,1358,1B,,Caught Stealing 2B,474832,Brandon Belt,430589,Chad Qualls,431171,Casey McGehee,R,Jason Castro,488771,3,3,8,True,2015-05-13,Caught,2B,2015,2016,26.3,2016,26.3,2016,26.3
58,58,58,1410,1B,,Caught Stealing 2B,474832,Brandon Belt,502009,Mat Latos,452239,Justin Maxwell,R,Jhonatan Solano,500207,0,1,4,False,2015-05-10,Caught,2B,2015,2016,26.3,2016,26.3,2016,26.3
