,Outcome,Inplay,Event,Pitch,Description,Start_speed,End_speed,breakAngle,breakLength,breakY,breakVertical,breakHorizontal,breakVerticalInduced,spinRate,location,batter_name,batter_side,batter_split,pitcher_id,pitcher_name,pitcher_hand,pitcher_split,Date
34,B,False,,Curveball,Ball,72.8,66.6,8.4,16.8,24.0,,,,2255,,Raul Ibanez,L,vs_RHP,408206,Brett Myers,R,vs_LHB,2011-04-01
35,B,False,,Sinker,Ball,86.8,79.5,33.6,7.2,24.0,,,,2325,,Raul Ibanez,L,vs_RHP,408206,Brett Myers,R,vs_LHB,2011-04-01
36,X,True,,Four-Seam Fastball,"In play, out(s)",86.3,78.9,9.6,6.0,24.0,,,,1077,4,Raul Ibanez,L,vs_RHP,408206,Brett Myers,R,vs_LHB,2011-04-01
37,C,False,,Slider,Called Strike,82.1,77.0,8.4,9.6,24.0,,,,648,,Ben Francisco,R,vs_RHP,408206,Brett Myers,R,vs_RHB,2011-04-01
38,B,False,,Four-Seam Fastball,Ball,89.0,82.6,22.8,4.8,24.0,,,,1873,,Ben Francisco,R,vs_RHP,408206,Brett Myers,R,vs_RHB,2011-04-01
39,X,True,,Four-Seam Fastball,"In play, out(s)",88.4,82.5,18.0,6.0,24.0,,,,1397,4,Ben Francisco,R,vs_RHP,408206,Brett Myers,R,vs_RHB,2011-04-01
40,B,False,,Cutter,Ball,89.9,83.0,16.8,4.8,24.0,,,,1740,,Brett Wallace,L,vs_RHP,136880,Roy Halladay,R,vs_LHB,2011-04-01
41,F,False,,Cutter,Foul,90.1,84.2,15.6,6.0,24.0,,,,1218,,Brett Wallace,L,vs_RHP,136880,Roy Halladay,R,vs_LHB,2011-04-01
42,B,False,,Cutter,Ball,89.6,83.4,6.0,6.0,24.0,,,,1116,,Brett Wallace,L,vs_RHP,136880,Roy Halladay,R,vs_LHB,2011-04-01
43,S,False,,Cutter,Swinging Strike,89.0,83.0,7.2,6.0,24.0,,,,1153,,Brett Wallace,L,vs_RHP,136880,Roy Halladay,R,vs_LHB,2011-04-01
44,X,True,,Sinker,"In play, out(s)",91.4,84.4,26.4,6.0,24.0,,,,1728,5,Brett Wallace,L,vs_RHP,136880,Roy Halladay,R,vs_LHB,2011-04-01
45,B,False,,Sinker,Ball,92.1,85.8,24.0,7.2,24.0,,,,1531,,Humberto Quintero,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
46,B,False,,Cutter,Ball,89.6,84.1,0.0,6.0,24.0,,,,974,,Humberto Quintero,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
47,B,False,,Cutter,Ball,89.6,83.1,9.6,6.0,24.0,,,,881,,Humberto Quintero,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
