,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint,Current_Year_y,Arm_Strength_x,Exchange_x,Current_Year_x,Arm_Strength_y,Exchange_y,Current_Year_y,Arm_Strength,Exchange
10,10,10,10,1B,2B,Stolen Base 2B,650489,Willi Castro,662253,Andrés Muñoz,456781,Donovan Solano,R,Tom Murphy,608596,3,4,8,True,2023-07-19,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
11,11,11,11,1B,2B,Stolen Base 2B,595879,Javier Báez,686654,Ty Adcock,665155,Nick Maton,R,Tom Murphy,608596,2,5,7,True,2023-07-14,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
12,12,12,12,1B,2B,Stolen Base 2B,656716,Zach McKinstry,642048,Tayler Saucedo,682985,Riley Greene,L,Tom Murphy,608596,2,5,8,True,2023-07-14,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
13,13,13,13,1B,2B,Stolen Base 2B,663656,Kyle Tucker,693433,Bryan Woo,608324,Alex Bregman,R,Tom Murphy,608596,2,2,6,False,2023-07-08,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
14,14,14,14,1B,2B,Stolen Base 2B,600869,Jeimer Candelario,669302,Logan Gilbert,660688,Keibert Ruiz,R,Tom Murphy,608596,0,3,3,True,2023-06-28,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
15,15,15,15,1B,2B,Stolen Base 2B,543305,Aaron Hicks,669302,Logan Gilbert,624428,Adam Frazier,R,Tom Murphy,608596,0,1,2,False,2023-06-23,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
16,16,16,16,2B,3B,Stolen Base 3B,643217,Andrew Benintendi,669302,Logan Gilbert,641313,Tim Anderson,R,Tom Murphy,608596,2,1,3,True,2023-06-17,Stolen,3B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
17,17,17,17,1B,2B,Stolen Base 2B,669261,Jack Suwinski,623149,Paul Sewald,663647,Ke'Bryan Hayes,R,Tom Murphy,608596,3,3,8,True,2023-05-28,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
18,18,18,18,1B,2B,Stolen Base 2B,668804,Bryan Reynolds,642048,Tayler Saucedo,669261,Jack Suwinski,L,Tom Murphy,608596,3,3,10,True,2023-05-28,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
19,19,19,19,1B,2B,Stolen Base 2B,665923,Esteury Ruiz,594835,Marco Gonzales,657656,Ramón Laureano,L,Tom Murphy,608596,0,1,1,True,2023-05-23,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
20,20,20,20,1B,2B,Stolen Base 2B,665923,Esteury Ruiz,669302,Logan Gilbert,667670,Brent Rooker,R,Tom Murphy,608596,0,0,4,False,2023-05-03,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
21,21,21,21,2B,3B,Stolen Base 3B,665923,Esteury Ruiz,669302,Logan Gilbert,643393,Tony Kemp,R,Tom Murphy,608596,2,0,6,False,2023-05-03,Stolen,3B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
22,22,22,22,1B,2B,Stolen Base 2B,607054,Jace Peterson,682171,Penn Murfee,542583,Jesús Aguilar,R,Tom Murphy,608596,2,1,7,False,2023-05-03,Stolen,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
23,23,23,23,1B,,Caught Stealing 2B,681082,Bryson Stott,669923,George Kirby,607208,Trea Turner,R,Tom Murphy,608596,1,0,8,False,2023-04-27,Caught,2B,2023,2024,29.8,2024,74.8,0.84,2024,74.8,0.84,2024, 74.8, 0.84
