,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x.2,Arm_Strength_x,Exchange_x,Current_Year_y.2,Arm_Strength_y,Exchange_y,Current_Year,Arm_Strength,Exchange
34,34,34,34,34,34,34,1B,2B,Stolen Base 2B,621020,Dansby Swanson,543135,Nathan Eovaldi,664023,Ian Happ,R,Mitch Garver,641598,0,0,4,False,2023-04-07,Stolen,2B,2023,2024,29.8,2024,29.8,2024,29.8,2024,29.8,2024,79.3,0.67,2024,79.3,0.67,2024, 79.3, 0.67
35,35,35,35,35,35,35,1B,2B,Stolen Base 2B,595909,Jake Cave,543135,Nathan Eovaldi,669016,Brandon Marsh,R,Mitch Garver,641598,2,0,3,True,2023-04-01,Stolen,2B,2023,2024,29.8,2024,29.8,2024,29.8,2024,29.8,2024,79.3,0.67,2024,79.3,0.67,2024, 79.3, 0.67
36,36,36,36,36,36,36,1B,2B,Stolen Base 2B,596451,Roman Quinn,456713,Matt Bush,516416,Jean Segura,R,Mitch Garver,641598,0,0,9,False,2022-05-04,Stolen,2B,2022,2023,29.4,2023,29.4,2023,29.4,2023,29.4,2023,81.4,0.72,2023,81.4,0.72,2023, 81.4, 0.72
37,37,37,37,37,37,37,1B,2B,Stolen Base 2B,645277,Ozzie Albies,572070,Garrett Richards,594807,Adam Duvall,R,Mitch Garver,641598,0,2,1,True,2022-04-29,Stolen,2B,2022,2023,29.4,2023,29.4,2023,29.4,2023,29.4,2023,81.4,0.72,2023,81.4,0.72,2023, 81.4, 0.72
38,38,38,38,38,38,38,1B,2B,Stolen Base 2B,663656,Kyle Tucker,641540,Dane Dunning,649557,Aledmys Díaz,R,Mitch Garver,641598,0,1,2,True,2022-04-25,Stolen,2B,2022,2023,29.4,2023,29.4,2023,29.4,2023,29.4,2023,81.4,0.72,2023,81.4,0.72,2023, 81.4, 0.72
39,39,39,39,39,39,39,1B,2B,Stolen Base 2B,493329,Yuli Gurriel,667463,John King,663656,Kyle Tucker,L,Mitch Garver,641598,1,2,6,True,2022-04-25,Stolen,2B,2022,2023,29.4,2023,29.4,2023,29.4,2023,29.4,2023,81.4,0.72,2023,81.4,0.72,2023, 81.4, 0.72
40,40,40,40,40,40,40,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,607359,Spencer Patton,672284,Jarred Kelenic,R,Mitch Garver,641598,4,2,7,False,2022-04-19,Stolen,2B,2022,2023,29.4,2023,29.4,2023,29.4,2023,29.4,2023,81.4,0.72,2023,81.4,0.72,2023, 81.4, 0.72
41,41,41,41,41,41,41,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,519043,Matt Moore,672284,Jarred Kelenic,L,Mitch Garver,641598,6,2,8,False,2022-04-19,Stolen,2B,2022,2023,29.4,2023,29.4,2023,29.4,2023,29.4,2023,81.4,0.72,2023,81.4,0.72,2023, 81.4, 0.72
42,42,42,42,42,42,42,1B,2B,Stolen Base 2B,642180,Tyler Wade,527048,Martín Pérez,660271,Shohei Ohtani,L,Mitch Garver,641598,1,1,3,True,2022-04-17,Stolen,2B,2022,2023,29.4,2023,29.4,2023,29.4,2023,29.4,2023,81.4,0.72,2023,81.4,0.72,2023, 81.4, 0.72
43,43,43,43,43,43,43,1B,2B,Stolen Base 2B,669016,Brandon Marsh,607359,Spencer Patton,621493,Taylor Ward,R,Mitch Garver,641598,3,4,5,True,2022-04-17,Stolen,2B,2022,2023,29.4,2023,29.4,2023,29.4,2023,29.4,2023,81.4,0.72,2023,81.4,0.72,2023, 81.4, 0.72
44,44,44,44,44,44,44,1B,2B,Stolen Base 2B,623205,Andrew Velazquez,656271,Brock Burke,642180,Tyler Wade,L,Mitch Garver,641598,3,6,6,True,2022-04-17,Stolen,2B,2022,2023,29.4,2023,29.4,2023,29.4,2023,29.4,2023,81.4,0.72,2023,81.4,0.72,2023, 81.4, 0.72
45,45,45,45,45,45,45,1B,,Caught Stealing 2B,642180,Tyler Wade,656271,Brock Burke,660271,Shohei Ohtani,L,Mitch Garver,641598,3,6,6,True,2022-04-17,Caught,2B,2022,2023,29.4,2023,29.4,2023,29.4,2023,29.4,2023,81.4,0.72,2023,81.4,0.72,2023, 81.4, 0.72
46,46,46,46,46,46,46,1B,2B,Stolen Base 2B,543685,Anthony Rendon,518813,Greg Holland,666176,Jo Adell,R,Mitch Garver,641598,6,7,5,True,2022-04-15,Stolen,2B,2022,2023,29.4,2023,29.4,2023,29.4,2023,29.4,2023,81.4,0.72,2023,81.4,0.72,2023, 81.4, 0.72
47,47,47,47,47,47,47,1B,2B,Stolen Base 2B,682928,CJ Abrams,641540,Dane Dunning,543592,Austin Nola,R,Mitch Garver,641598,0,1,1,True,2022-04-04,Stolen,2B,2022,2023,29.4,2023,29.4,2023,29.4,2023,29.4,2023,81.4,0.72,2023,81.4,0.72,2023, 81.4, 0.72
48,48,48,48,48,48,48,1B,2B,Stolen Base 2B,543592,Austin Nola,641540,Dane Dunning,608577,Nomar Mazara,R,Mitch Garver,641598,0,1,1,True,2022-04-04,Stolen,2B,2022,2023,29.4,2023,29.4,2023,29.4,2023,29.4,2023,81.4,0.72,2023,81.4,0.72,2023, 81.4, 0.72
49,49,49,49,49,49,49,1B,2B,Stolen Base 2B,546994,C.J. Hinojosa,641540,Dane Dunning,663757,Trent Grisham,R,Mitch Garver,641598,1,3,2,True,2022-04-04,Stolen,2B,2022,2023,29.4,2023,29.4,2023,29.4,2023,29.4,2023,81.4,0.72,2023,81.4,0.72,2023, 81.4, 0.72
50,50,50,50,50,50,50,1B,2B,Stolen Base 2B,665926,Andrés Giménez,456713,Matt Bush,595978,Austin Hedges,R,Mitch Garver,641598,0,0,1,True,2022-04-02,Stolen,2B,2022,2023,29.4,2023,29.4,2023,29.4,2023,29.4,2023,81.4,0.72,2023,81.4,0.72,2023, 81.4, 0.72
